ptsMs,latencyMs,frameType
60458,15834,P
60500,15834,B
60541,15832,B
60583,15987,P
60625,15988,I
60666,15987,B
60708,15992,P
60750,15987,B
60791,15989,B
60833,15996,B
60875,15995,P
60916,15992,P
60958,15990,P
61000,15990,P
61041,15996,P
61083,15994,P
61125,15992,P
61166,16106,P
61208,16108,P
61250,16106,I
61291,16113,B
61333,16112,B
61375,16111,B
61416,16108,P
61458,16114,P
61500,16114,P
61541,16112,P
61583,16110,B
61625,16108,B
61666,16114,B
61708,16113,P
61750,16112,P
61791,16309,B
61833,16316,P
61875,16315,I
61916,16313,P
61958,16310,P
62000,16318,P
62041,16315,P
62083,16314,P
62125,16313,B
62166,16310,B
62208,16317,B
62250,16316,P
62291,16313,B
62333,16312,B
62375,16309,B
62416,16485,P
62458,16486,P
62500,16489,I
62541,16486,P
62583,16494,P
62625,16492,P
62666,16491,P
62708,16489,B
62750,16487,P
62791,16493,P
62833,16484,P
62875,16490,P
62916,16488,P
62958,16486,P
63000,16493,P
63041,16874,P
63083,16875,P
63125,16876,I
63166,16874,P
63208,16873,P
63250,16874,P
63291,16881,P
63333,16880,P
63375,16879,P
63416,16876,P
63458,16883,P
63500,16882,P
63541,16879,B
63583,16878,B
63625,16876,B
63666,16882,P
63708,17115,P
63750,17117,I
63791,17117,B
63833,17123,B
63875,17116,B
63916,17120,P
63958,17115,B
64000,17117,B
64041,17124,B
64083,17121,P
64125,17121,B
64166,17119,B
64208,17116,B
64250,17124,P
64291,17130,B
64333,17131,P
64375,17134,I
64416,17131,B
64458,17139,B
64500,17137,P
64541,17130,B
64583,17133,B
64625,17130,B
64666,17138,P
64708,17136,B
64750,17135,B
64791,17133,B
64833,17132,P
64875,17138,B
64916,17331,B
64958,17332,P
65000,17333,I
65041,17331,B
65083,17337,B
65125,17336,B
65166,17334,P
65208,17332,B
65250,17339,B
65291,17337,B
65333,17336,P
65375,17335,B
65416,17333,B
65458,17339,B
65500,17338,P
65541,17574,B
65583,17582,P
65625,17574,I
65666,17578,B
65708,17576,B
65750,17584,B
65791,17581,P
65833,17579,P
65875,17578,B
65916,17577,B
65958,17575,B
66000,17582,P
66041,17580,B
66083,17577,B
66125,17577,B
66166,17817,P
66208,17821,P
66250,17818,I
66291,17825,B
66333,17824,P
66375,17823,P
66416,17820,B
66458,17818,B
66500,17826,B
66541,17823,P
66583,17822,B
66625,17820,B
66666,17819,B
66708,17825,P
66750,17823,B
66791,18040,B
66833,18043,P
66875,18042,I
66916,18048,B
66958,18047,B
67000,18045,B
67041,18043,P
67083,18041,B
67125,18048,B
67166,18046,B
67208,18045,P
67250,18043,P
67291,18042,B
67333,18047,B
67375,18046,P
67416,18279,B
67458,18278,P
67500,18281,I
67541,18288,B
67583,18286,B
67625,18284,P
67666,18279,P
67708,18281,P
67750,18288,P
67791,18286,B
67833,18284,B
67875,18283,B
67916,18281,P
67958,18286,P
68000,18285,P
68041,18501,P
68083,18505,P
68125,18502,I
68166,18502,B
68208,18507,B
68250,18504,B
68291,18503,P
68333,18503,P
68375,18501,P
68416,18503,P
68458,18505,B
68500,18506,B
68541,18501,P
68583,18510,B
68625,18502,B
68666,18688,B
68708,18697,P
68750,18696,I
68791,18694,B
68833,18808,P
68875,18810,P
68916,18816,P
68958,18815,P
69000,18930,P
69041,18930,P
69083,18938,P
69125,18936,P
69166,18934,B
69208,18933,B
69250,18931,P
69291,19220,P
69333,19223,P
69375,19222,I
69416,19229,B
69458,19226,B
69500,19226,B
69541,19223,P
69583,19222,B
69625,19221,B
69666,19222,B
69708,19220,P
69750,19223,P
69791,19220,P
69833,19228,B
69875,19221,B
69916,19342,B
69958,19343,P
70000,19349,I
70041,19344,B
70083,19345,B
70125,19344,B
70166,19350,P
70208,19348,B
70250,19342,B
70291,19345,B
70333,19344,P
70375,19351,B
70416,19348,B
70458,19347,B
70500,19345,P
70541,19548,B
70583,19548,P
70625,19557,I
70666,19555,B
70708,19552,P
70750,19551,P
70791,19549,P
70833,19555,B
70875,19555,B
70916,19553,B
70958,19550,P
71000,19549,B
71041,19556,B
71083,19553,B
71125,19553,P
71166,19550,P
71208,19624,P
71250,19627,I
71291,19634,B
71333,19631,B
71375,19630,B
71416,19629,P
71458,19627,B
71500,19625,B
71541,19631,B
71583,19630,P
71625,19629,B
71666,19625,B
71708,19631,B
71750,19632,P
71791,19698,B
71833,19698,P
71875,19707,I
71916,19704,B
71958,19702,B
72000,19702,B
72041,19699,P
72083,19705,B
72125,19698,B
72166,19702,B
72208,19701,P
72250,19699,B
72291,19705,B
72333,19704,B
72375,19702,P
72416,19979,B
72458,19981,P
72500,19979,I
72541,19979,B
72583,19979,B
72625,19981,P
72666,19981,B
72708,19979,B
72750,19983,B
72791,19981,P
72833,19988,B
72875,19987,B
72916,19985,B
72958,19983,P
73000,19981,B
73041,20060,B
73083,20065,P
73125,20064,I
73166,20063,B
73208,20069,P
73250,20068,P
73291,20066,P
73333,20059,P
73375,20063,P
73416,20069,P
73458,20066,B
73500,20066,P
73541,20064,B
73583,20061,B
73625,20069,B
73666,20176,P
73708,20176,P
73750,20176,I
73791,20177,B
73833,20179,B
73875,20177,B
73916,20185,P
73958,20183,B
74000,20181,B
74041,20179,P
74083,20178,P
74125,20185,P
74166,20183,P
74208,20181,P
74250,20179,P
74291,20295,P
74333,20304,P
74375,20296,I
74416,20300,P
74458,20298,P
74500,20398,B
74541,20400,P
74583,20405,P
74625,20405,P
74666,20403,P
74708,20498,P
74750,20504,P
74791,20502,P
74833,20499,P
74875,20507,P
74916,20783,P
74958,20784,P
75000,20789,I
75041,20784,P
75083,20822,P
75125,20823,P
75166,20831,P
75208,20823,B
75250,20827,B
75291,20822,B
75333,20823,P
75375,20831,P
75416,20828,P
75458,21069,P
75500,21069,P
75541,21071,B
75583,21077,P
75625,21077,I
75666,21068,B
75708,21072,B
75750,21072,B
75791,21078,P
75833,21076,B
75875,21075,B
75916,21072,B
75958,21071,P
76000,21078,B
76041,21076,B
76083,21074,B
76125,21072,P
76166,21393,B
76208,21393,P
76250,21395,I
76291,21402,B
76333,21400,B
76375,21399,B
76416,21397,P
76458,21394,B
76500,21402,B
76541,21399,B
76583,21398,P
76625,21396,B
76666,21394,B
76708,21401,B
76750,21400,P
76791,21719,B
76833,21724,P
76875,21722,I
76916,21720,B
76958,21718,B
77000,21719,B
77041,21724,P
77083,21721,B
77125,21721,B
77166,21726,B
77208,21724,P
77250,21724,B
77291,21722,B
77333,21720,B
77375,21727,P
77416,22045,B
77458,22051,P
77500,22050,I
77541,22047,B
77583,22054,B
77625,22052,B
77666,22051,P
77708,22048,B
77750,22046,B
77791,22054,B
77833,22051,P
77875,22051,B
77916,22049,B
77958,22046,B
78000,22054,P
78041,22367,B
78083,22368,P
78125,22368,I
78166,22368,B
78208,22372,B
78250,22367,B
78291,22369,P
78333,22366,B
78375,22366,B
78416,22373,B
78458,22371,P
78500,22368,B
78541,22367,B
78583,22374,B
78625,22373,P
78666,22714,B
78708,22715,P
78750,22719,I
78791,22714,B
78833,22715,B
78875,22722,B
78916,22715,P
78958,22719,B
79000,22717,B
79041,22724,P
79083,22721,B
79125,22721,B
79166,22719,B
79208,22716,P
79250,22716,B
79291,22999,B
79333,23008,P
79375,23007,I
79416,23004,B
79458,23002,B
79500,23001,B
79541,23007,P
79583,23006,B
79625,23004,B
79666,23002,B
79708,23001,P
79750,23007,B
79791,23006,B
79833,23004,B
79875,23003,P
79916,23239,P
79958,23239,P
80000,23239,I
80041,23239,B
80083,23242,B
