pts_sec latencyMs frameType
73.791 20177 B
73.833 20179 B
73.875 20177 B
73.916 20185 P
73.958 20183 B
74.0 20181 B
74.041 20179 P
74.083 20178 P
74.125 20185 P
74.166 20183 P
74.208 20181 P
74.25 20179 P
74.291 20295 P
74.333 20304 P
74.375 20296 I
74.416 20300 P
74.458 20298 P
74.5 20398 B
74.541 20400 P
74.583 20405 P
74.625 20405 P
74.666 20403 P
74.708 20498 P
74.75 20504 P
74.791 20502 P
74.833 20499 P
74.875 20507 P
74.916 20783 P
74.958 20784 P
75.0 20789 I
75.041 20784 P
75.083 20822 P
75.125 20823 P
75.166 20831 P
75.208 20823 B
75.25 20827 B
75.291 20822 B
75.333 20823 P
75.375 20831 P
75.416 20828 P
75.458 21069 P
75.5 21069 P
75.541 21071 B
75.583 21077 P
75.625 21077 I
75.666 21068 B
75.708 21072 B
75.75 21072 B
75.791 21078 P
75.833 21076 B
75.875 21075 B
75.916 21072 B
75.958 21071 P
76.0 21078 B
76.041 21076 B
76.083 21074 B
76.125 21072 P
76.166 21393 B
76.208 21393 P
76.25 21395 I
76.291 21402 B
76.333 21400 B
76.375 21399 B
76.416 21397 P
