ptsMs,latencyMs,frameType
109208,16231,P
109333,16272,P
109375,16279,I
109541,16113,P
109666,16082,P
109791,15957,P
109916,16368,P
109958,16375,P
110000,16374,I
110041,16372,P
110125,16294,P
110208,16282,P
110291,16198,P
110458,16484,P
110583,16360,P
110625,16442,I
110708,16359,P
110875,16316,P
111041,16149,P
111125,16603,P
111166,16604,P
111208,16603,P
111250,16612,I
111291,16625,P
111375,16542,P
111458,16622,P
111500,16625,P
111583,16543,P
111666,16459,P
111708,16826,P
111750,16827,P
111791,16830,P
111833,16829,P
111875,16826,I
111916,16967,P
111958,16976,P
112000,16968,P
112125,16843,P
112208,16884,P
112291,16800,P
112416,17298,P
112458,17308,P
112500,17306,I
112583,17223,P
112750,17062,P
112916,16900,P
113000,17268,P
113083,17185,P
113125,17265,I
113291,17099,P
113375,17139,P
113458,17057,P
113625,17366,P
113666,17371,P
113708,17370,P
113750,17367,I
113875,17247,P
113916,17340,P
113958,17344,P
114125,17177,P
114166,17183,P
114291,17521,P
114333,17522,P
114375,17527,I
114541,17458,P
114708,17292,P
114875,17295,P
