at,ptsMs,payloadSizeBytes,frameType
40677,41083,667,B
40740,41208,2748,P
40760,41166,788,B
41034,41250,22920,I
41059,41416,2058,P
41069,41333,748,B
41078,41291,635,B
41087,41375,539,B
41121,41583,3031,P
41133,41500,998,B
41143,41458,687,B
41154,41541,722,B
41208,41750,3857,P
41222,41666,982,B
41260,41625,768,B
41302,41708,722,B
41371,41833,3409,P
41386,41791,787,B
41653,41875,22568,I
41678,42041,2149,P
41691,41958,814,B
41700,41916,624,B
41708,42000,563,B
41753,42208,4045,P
41764,42125,820,B
41773,42083,642,B
41783,42166,637,B
41836,42375,3964,P
41846,42291,858,B
41884,42250,649,B
41925,42333,609,B
41991,42458,2841,P
42010,42416,725,B
42334,42500,22454,I
42364,42666,1887,P
42375,42583,535,B
42385,42541,586,B
42397,42625,497,B
42440,42833,2915,P
42455,42750,866,B
42467,42708,679,B
42480,42791,646,B
42535,43000,3719,P
42550,42916,787,B
42561,42875,701,B
42574,42958,607,B
42642,43083,4069,P
42655,43041,715,B
42997,43125,23645,I
43028,43291,1897,P
43040,43208,658,B
43050,43166,565,B
43061,43250,488,B
43113,43458,3568,P
43125,43375,779,B
43136,43333,528,B
43148,43416,550,B
43204,43625,3823,P
43220,43541,906,B
43231,43500,640,B
43243,43583,570,B
43289,43708,3021,P
43301,43666,654,B
43634,43750,23691,I
43669,43916,2225,P
43685,43833,1004,B
43698,43791,615,B
43710,43875,618,B
43769,44083,4133,P
43790,44000,1228,B
43805,43958,828,B
43818,44041,777,B
43873,44250,3784,P
43894,44166,1313,B
43910,44125,873,B
43925,44208,786,B
43977,44333,3553,P
43991,44291,871,B
44327,44375,23759,I
44362,44541,2370,P
44378,44458,935,B
44391,44416,718,B
44403,44500,620,B
44450,44708,3147,P
44467,44625,978,B
44479,44583,712,B
44490,44666,561,B
44546,44875,3793,P
44560,44791,858,B
44571,44750,634,B
44582,44833,519,B
44637,44958,3707,P
44652,44916,798,B
44963,45000,21975,I
44997,45166,2288,P
45012,45083,827,B
45024,45041,652,B
45034,45125,577,B
45078,45333,2891,P
45089,45250,718,B
45102,45208,657,B
45114,45291,615,B
45163,45500,3367,P
45176,45416,800,B
45190,45375,709,B
45201,45458,567,B
45267,45583,4446,P
45277,45541,568,B
45596,45625,22556,I
45627,45791,1972,P
45641,45708,867,B
45654,45666,555,B
45665,45750,631,B
45707,45958,2728,P
45720,45875,738,B
45730,45833,580,B
45740,45916,547,B
45792,46125,3528,P
45806,46041,687,B
45818,46000,676,B
45827,46083,530,B
45873,46208,3042,P
45884,46166,573,B
46185,46250,21189,I
46214,46416,1903,P
46229,46333,727,B
46239,46291,492,B
46251,46375,613,B
46301,46583,3385,P
46324,46500,1507,B
46337,46458,809,B
46355,46541,1015,B
46424,46750,4767,P
46446,46666,1357,B
46467,46625,1163,B
46478,46708,727,B
46534,46833,3677,P
46546,46791,712,B
46867,46875,22763,I
46895,47041,1794,P
46905,46958,605,B
46916,46916,451,B
46923,47000,417,B
46964,47208,2611,P
46976,47125,771,B
46985,47083,520,B
46997,47166,504,B
47062,47375,4464,P
47076,47291,759,B
47085,47250,536,B
47095,47333,453,B
47124,47458,1952,P
47133,47416,463,B
47450,47500,22356,I
47469,47541,1215,P
47502,47708,2070,P
47519,47625,933,B
47529,47583,514,B
47538,47666,517,B
48331,47750,17927,P
48346,47916,2072,P
48346,47833,681,B
48346,47791,420,B
48346,47875,369,B
48346,48083,3611,P
48346,48000,863,B
48346,47958,589,B
48346,48041,610,B
48764,48750,23516,I
49403,48125,23097,I
49415,48291,2498,P
49415,48208,1092,B
49416,48166,856,B
49416,48250,774,B
49416,48458,2679,P
49416,48375,1352,B
49416,48333,846,B
49416,48416,843,B
49416,48625,4069,P
49416,48541,1182,B
49416,48500,952,B
49417,48583,879,B
49417,48708,3758,P
49417,48666,790,B
49439,48916,2829,P
49439,48833,1066,B
49440,48791,809,B
49440,48875,932,B
49440,49083,3416,P
49440,49000,1149,B
49440,48958,1008,B
49616,49041,744,B
49666,49250,4185,P
49677,49166,1559,B
49677,49125,1124,B
49677,49208,1089,B
49764,49333,4204,P
49764,49291,1183,B
50644,50625,23733,I
50662,50791,1735,P
50678,50708,752,B
50678,50666,597,B
50697,50750,551,B
50747,50958,3861,P
50764,50875,693,B
50764,50833,613,B
50782,50916,544,B
50851,51125,4917,P
51194,51250,22897,I
51212,51291,1202,P
51264,51333,3035,P
51279,51375,2025,P
51314,51416,1773,P
51332,51458,1697,P
51349,51500,1058,P
51383,51541,1576,P
51400,51583,1793,P
51435,51625,1468,P
51454,51666,1468,P
51471,51708,1593,P
51848,51875,23392,I
51898,52041,2903,P
51915,51958,988,B
51915,51916,521,B
51936,52000,539,B
51970,52083,2428,P
52002,52125,2694,P
52073,52208,4011,P
52073,52166,658,B
52433,52500,23710,I
52450,52541,1076,P
52483,52583,2302,P
52499,52666,1725,P
52499,52625,420,B
52554,52833,3068,P
52571,52750,731,B
52572,52708,547,B
52587,52791,350,B
52620,53000,2963,P
52636,52916,878,B
52636,52875,564,B
52670,52958,531,B
53050,53125,23624,I
53084,53291,3126,P
53100,53208,826,B
53121,53166,651,B
53121,53250,446,B
53173,53458,3761,P
53189,53375,676,B
53189,53333,499,B
53205,53416,407,B
53254,53625,4333,P
53276,53541,630,B
53276,53500,500,B
53294,53583,317,B
53343,53666,3690,P
53376,53708,2987,P
53409,53083,3189,P
53755,53750,22588,I
53772,53791,1398,P
53789,53833,1476,P
53822,53875,1870,P
53861,53916,2360,P
53894,53958,1926,P
53910,54000,1510,P
53943,54041,2743,P
54307,54375,22766,I
54340,54416,2027,P
54373,54458,2338,P
54411,54500,2429,P
54445,54541,2435,P
54476,54583,2352,P
54510,54625,2205,P
54565,54791,3604,P
54582,54708,1410,B
54599,54666,758,B
54599,54750,695,B
54977,55000,22121,I
55044,55166,3835,P
55044,55083,923,B
55059,55041,696,B
55076,55125,712,B
55165,55333,5708,P
55181,55250,1216,B
55181,55208,733,B
55198,55291,666,B
55562,55625,23185,I
55595,55666,2156,P
55629,55708,2620,P
55699,55791,4042,P
55716,55750,936,B
55783,55958,4829,P
55803,55875,1490,B
55820,55833,998,B
55838,55916,798,B
55887,56041,4054,P
55902,56000,969,B
56080,56250,11191,I
56114,56291,2850,P
56163,56333,3459,P
56214,56375,2988,P
56251,56416,2832,P
56300,56583,2917,P
56301,56500,450,B
56316,56458,303,B
56320,56541,178,B
56389,56708,5092,P
56405,56625,482,B
56405,56666,225,B
56488,56791,5947,P
56488,56750,467,B
56834,56875,21681,I
56851,56916,1300,P
56868,56958,560,P
56868,57000,508,P
56884,57041,1152,P
56901,57083,663,P
56901,57125,448,P
56901,57166,414,P
56919,57208,541,P
56919,57250,548,P
56938,57291,541,P
56955,57333,723,P
56955,56833,1966,P
57021,57375,2457,P
57092,57416,2426,P
57589,57500,21283,I
57642,57541,2452,P
57667,57583,1842,P
57720,57625,1713,P
57743,57666,1555,P
58287,58125,21254,I
58313,58166,2066,P
58364,58208,1888,P
58881,58750,22079,I
58932,58791,2382,P
58983,58833,2121,P
59035,58875,2013,P
59501,59375,21050,I
59576,59500,3336,P
59601,59416,505,B
59602,59458,302,B
60147,60000,22295,I
60221,60041,3252,P
60296,60166,2967,P
60296,60083,571,B
60658,60625,16001,I
60914,60708,11660,P
60914,60666,213,B
61329,61250,16906,I
61378,61416,2440,P
61406,61333,559,B
61406,61291,436,B
61406,61375,440,B
61461,61458,2518,P
61537,61500,2934,P
61586,61541,2436,P
62077,61875,20841,I
62565,62500,20793,I
62621,62541,1710,P
62647,62583,1880,P
62697,62625,1990,P
62746,62666,2131,P
63293,63125,21852,I
63341,63166,2631,P
63390,63208,2450,P
63674,63750,9759,I
64060,63916,17411,P
64060,63833,210,B
64061,63791,183,B
64061,63875,188,B
64608,64375,23574,I
64608,64500,869,P
65095,65000,21604,I
65170,65166,3029,P
65170,65083,851,B
65196,65041,594,B
65196,65125,383,B
65740,65625,22442,I
65790,65791,3048,P
65814,65708,1149,B
65838,65666,650,B
65838,65750,672,B
66331,66250,20381,I
66411,66333,3501,P
66437,66291,1454,B
66486,66375,2165,P
66564,66541,3609,P
66974,66875,18079,I
67057,67041,4189,P
67108,66958,1403,B
67108,66916,773,B
67132,67000,772,B
67207,67208,3874,P
67571,67500,16400,I
67674,67625,4686,P
67728,67541,1594,B
67751,67583,1167,B
68192,68125,17918,I
68290,68291,4625,P
68315,68208,1887,B
68341,68166,940,B
68705,68750,16167,I
68805,68833,4736,P
68861,68791,1385,B
68936,68875,3707,P
69012,68916,4177,P
69270,69375,10990,I
69557,69541,12563,P
69557,69458,166,B
69582,69416,862,B
69582,69500,162,B
69657,69708,3388,P
69657,69625,389,B
69657,69583,338,B
69657,69666,153,B
70685,70625,23418,I
70769,70708,3289,P
70794,70666,476,B
70869,70750,3281,P
70917,70791,2823,P
71204,71250,12587,I
71951,71875,22071,I
71981,72041,1321,P
72006,71958,281,B
